field_name,field_group,value_type,mvp_priority,source_rule_count,source_obligation_count,description,dominant_sir_link_type,product_scopes,channel_scopes,rule_families,logic_types,detection_targets,evidence_sources,article_refs,source_rule_ids
explanation_material,content_text,document_or_text_bundle,high,9,9,"Explanation text, script, or material bundle used to communicate key product terms and risks to the consumer.",direct_content_field,deposit|general|insurance|investment|loan|multiple,solicitation|contracting,explanation|intermediary,prohibited_presence|required_presence,content_text|document_bundle,explanation_form,제19조①|제19조②|제19조③|제26조①,law_fincpa_main_2026-01-02:제19조:①:ob01:rule01|law_fincpa_main_2026-01-02:제19조:①:ob02:rule01|law_fincpa_main_2026-01-02:제19조:①:ob03:rule01|law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제19조:①:ob05:rule01|law_fincpa_main_2026-01-02:제19조:①:ob06:rule01|law_fincpa_main_2026-01-02:제19조:②:ob01:rule01|law_fincpa_main_2026-01-02:제19조:③:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob04:rule01
intermediary_status,content_text,enum,high,12,12,"Status or role of an intermediary, agent, or broker relevant to what conduct or disclosure rules apply.",direct_content_field,general|general|investment|investment|multiple,advertising|advisory|all_customer_facing|solicitation|contracting|contracting|solicitation|contracting,advertising|advisory|intermediary,prohibited_presence|required_presence|required_process,content_text|workflow_metadata,explanation_form|visible_content|workflow_log,제22조①|제24조|제25조①|제25조②|제26조①|제26조②|제27조③,law_fincpa_main_2026-01-02:제22조:①:ob01:rule01|law_fincpa_main_2026-01-02:제24조:ob01:rule01|law_fincpa_main_2026-01-02:제25조:①:ob01:rule01|law_fincpa_main_2026-01-02:제25조:①:ob02:rule01|law_fincpa_main_2026-01-02:제25조:②:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob02:rule01|law_fincpa_main_2026-01-02:제26조:①:ob03:rule01|law_fincpa_main_2026-01-02:제26조:①:ob04:rule01|law_fincpa_main_2026-01-02:제26조:②:ob01:rule01|law_fincpa_main_2026-01-02:제26조:②:ob02:rule01|law_fincpa_main_2026-01-02:제27조:③:ob01:rule01
product_core_terms,content_text,text_bundle,high,8,8,Core product terms that must be disclosed so the consumer can understand what is being offered.,direct_content_field,deposit|general|insurance|investment|multiple,advertising|advisory|solicitation|contracting|visit_sales|phone_sales|solicitation,advertising|advisory|explanation|solicitation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제16조의2③|제19조①|제22조③|제22조④|제27조③,law_fincpa_main_2026-01-02:제16조의2:③:ob02:rule01|law_fincpa_main_2026-01-02:제19조:①:ob03:rule01|law_fincpa_main_2026-01-02:제19조:①:ob05:rule01|law_fincpa_main_2026-01-02:제22조:③:ob01:rule01|law_fincpa_main_2026-01-02:제22조:③:ob04:rule01|law_fincpa_main_2026-01-02:제22조:④:ob01:rule01|law_fincpa_main_2026-01-02:제22조:④:ob03:rule01|law_fincpa_main_2026-01-02:제27조:③:ob01:rule01
prohibited_claim_signal,content_text,signal_list,high,17,17,"Detected prohibited claim, misleading claim, or other disallowed promotional signal in visible content.",direct_content_field,deposit|general|insurance|investment|loan|multiple,advertising|advisory|contracting|solicitation|solicitation|contracting|solicitation|visit_sales|phone_sales|visit_sales|phone_sales,advertising|advisory|explanation|intermediary|solicitation|unfair_sales,prohibited_presence|required_presence,content_text|document_bundle|workflow_metadata,contract_document|explanation_form|visible_content|workflow_log,제19조③|제20조①|제21조|제21조의2①|제22조③|제22조④|제25조②|제26조①|제27조④|제27조⑤,law_fincpa_main_2026-01-02:제19조:③:ob01:rule01|law_fincpa_main_2026-01-02:제20조:①:ob01:rule01|law_fincpa_main_2026-01-02:제20조:①:ob06:rule01|law_fincpa_main_2026-01-02:제21조:ob01:rule01|law_fincpa_main_2026-01-02:제21조:ob02:rule01|law_fincpa_main_2026-01-02:제21조:ob03:rule01|law_fincpa_main_2026-01-02:제21조:ob04:rule01|law_fincpa_main_2026-01-02:제21조의2:①:ob01:rule01|law_fincpa_main_2026-01-02:제21조의2:①:ob02:rule01|law_fincpa_main_2026-01-02:제22조:③:ob03:rule01|law_fincpa_main_2026-01-02:제22조:④:ob01:rule01|law_fincpa_main_2026-01-02:제22조:④:ob02:rule01|law_fincpa_main_2026-01-02:제22조:④:ob03:rule01|law_fincpa_main_2026-01-02:제25조:②:ob01:rule01|law_fincpa_main_2026-01-02:제26조:①:ob03:rule01|law_fincpa_main_2026-01-02:제27조:④:ob01:rule01|law_fincpa_main_2026-01-02:제27조:⑤:ob01:rule01
deposit_disclaimer,content_text,text_or_flag,low,2,2,"Required deposit or savings disclaimer, including guarantee or protection limitations where applicable.",direct_content_field,deposit,advertising,advertising,prohibited_presence|required_presence,content_text,visible_content,제22조③|제22조④,law_fincpa_main_2026-01-02:제22조:③:ob04:rule01|law_fincpa_main_2026-01-02:제22조:④:ob03:rule01
investment_warning,content_text,text_or_flag,low,3,3,Required investment-related risk or caution disclosure that must be surfaced to the consumer.,direct_content_field,investment,advertising|solicitation|contracting,advertising|explanation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제19조①|제22조③|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob02:rule01|law_fincpa_main_2026-01-02:제22조:③:ob03:rule01|law_fincpa_main_2026-01-02:제22조:④:ob02:rule01
loan_costs,content_text,text,low,3,3,"Loan-related cost, fee, or penalty disclosures that must be visible to the consumer.",direct_content_field,loan,advertising|contracting|solicitation|contracting,advertising|explanation|unfair_sales,prohibited_presence|required_presence,content_text|workflow_metadata,explanation_form|visible_content|workflow_log,제19조①|제20조①|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제20조:①:ob05:rule01|law_fincpa_main_2026-01-02:제22조:④:ob04:rule01
loan_interest_timing,content_text,text,low,2,2,Information showing when interest is charged or how the timing of interest accrual is communicated.,direct_content_field,loan,advertising|solicitation|contracting,advertising|explanation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제19조①|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제22조:④:ob04:rule01
loan_rate_basis,content_text,text,low,3,3,"Interest rate range, rate basis, or rate calculation method disclosed for a loan product.",direct_content_field,deposit|loan,advertising|solicitation|contracting,advertising|explanation,prohibited_presence|required_presence,content_text,explanation_form|visible_content,제19조①|제22조④,law_fincpa_main_2026-01-02:제19조:①:ob03:rule01|law_fincpa_main_2026-01-02:제19조:①:ob04:rule01|law_fincpa_main_2026-01-02:제22조:④:ob04:rule01
product_identity,content_text,text,low,3,3,Visible identification of the product itself in customer-facing content or documents.,direct_content_field,general|investment|multiple,advertising|solicitation|contracting|visit_sales|phone_sales|solicitation,adequacy|advertising|solicitation,required_presence|required_process,content_text|workflow_metadata,visible_content|workflow_log,제16조의2③|제18조④|제22조③,law_fincpa_main_2026-01-02:제16조의2:③:ob02:rule01|law_fincpa_main_2026-01-02:제18조:④:ob01:rule01|law_fincpa_main_2026-01-02:제22조:③:ob01:rule01
