record_id,article_id,paragraph_id,article_title,section_id,section_title,page_start,normalized_text,priority_reason,deterministic_is_relevant_to_theme2,gemini_is_relevant_to_theme2,deterministic_topic_family,gemini_topic_family,deterministic_product_scope,gemini_product_scope,deterministic_channel_scope,gemini_channel_scope,deterministic_obligation_mode,gemini_obligation_mode,deterministic_needs_decomposition,gemini_needs_decomposition,gemini_confidence,deterministic_note,gemini_note,gemini_reasoning_summary
law_fincpa_main_2026-01-02:제13조,제13조,,영업행위 준수사항 해석의 기준,제1절,영업행위 일반원칙,7,"누구든지 이 장의 영업행위 준수사항에 관한 규정을 해 석ㆍ적용하려는 경우 금융소비자의 권익을 우선적으로 고려하여야 하며, 금융상품 또는 계약 관계의 특성 등에 따라 금융상품 유형별 또는 금융상품판매업자등의 업종별로 형평에 맞게 해석ㆍ적용되도록 하여야 한다.",is_relevant_to_theme2,review,yes,general_principle,general_principle,general,general,all_customer_facing,all_customer_facing,general_principle,general_principle,no,no,high,Auto-prefill: broad interpretive principle; confirm whether to keep it in the first workflow.,"This clause establishes the general principle of interpretation for all sales conduct rules in Chapter 4, prioritizing financial consumer rights and ensuring equitable application across product types and business sectors.","The clause sets out the overarching interpretive standard for the entire chapter on sales conduct rules, making it a foundational general principle applicable to all products and customer-facing channels."
law_fincpa_main_2026-01-02:제15조,제15조,,차별금지,제1절,영업행위 일반원칙,7,금융상품판매업자등은 금융상품 또는 금융상품자문에 관한 계약을 체결하는 경우 정당한 사유 없이 성별ㆍ학력ㆍ장애ㆍ사회적 신분 등을 이유로 계약조건에 관하여 금융 소비자를 부당하게 차별해서는 아니 된다.,is_relevant_to_theme2|channel_scope,review,yes,general_principle,general_principle,general,general,contracting|all_customer_facing,contracting,prohibited_action,prohibited_action,no,no,high,Auto-prefill: anti-discrimination clause; may be outside the first content-review slice.,"This clause prohibits unfair discrimination based on gender, education, disability, or social status during the contracting process.","The clause establishes a clear prohibition against discriminatory practices during contract execution, which is a core general principle of financial consumer protection."
law_fincpa_main_2026-01-02:제16조:①,제16조,①,금융상품판매업자등의 관리책임,제1절,영업행위 일반원칙,7,금융상품판매업자등은 임직원 및 금융상품판매대 리ㆍ중개업자(「보험업법」 제2조제11호에 따른 보험중개사는 제외한다. 이하 이 조에서 같다 )가 업무를 수행할 때 법령을 준수하고 건전한 거래질서를 해치는 일이 없도록 성실히 관리하 여야 한다.,obligation_mode,yes,yes,internal_control,internal_control,general,general,internal_control,internal_control,workflow_control,required_action,no,no,high,Auto-prefill: internal control and management responsibility.,This clause establishes the general duty of financial product distributors to supervise and manage their employees and agents to ensure compliance and prevent unfair practices.,"The clause mandates internal control and supervisory responsibility over employees and intermediaries, which directly aligns with the internal_control topic family and general product scope."
law_fincpa_main_2026-01-02:제16조의2:①,제16조의2,①,방문판매 및 전화권유판매 임직원의 명부 작성 등,제1절,영업행위 일반원칙,7,금융상품판매업자등은 방문판 매(「방문판매 등에 관한 법률」 제2조제1호에 따른 방문판매를 말한다. 이하 같다) 및 전화권 유판매(「방문판매 등에 관한 법률」 제2조제3호에 따른 전화권유판매를 말한다. 이하 같다) 방 식으로 금융상품을 판매하려는 경우 방문판매 및 전화권유판매를 하려는 임직원의 명부를 대 통령령으로 정하는 바에 따라 작성하여야 한다.,is_relevant_to_theme2|topic_family|channel_scope|obligation_mode|needs_decomposition,review,yes,internal_control,other,general,general,visit_sales|phone_sales|internal_control,visit_sales|phone_sales,workflow_control,recordkeeping,yes,no,high,Auto-prefill: visit/phone sales operational controls; likely secondary to the first ad-review slice.,This clause mandates financial sales business operators to maintain a registry of employees engaged in door-to-door (visit) sales and telemarketing (phone sales) as prescribed by Presidential Decree.,The clause establishes a recordkeeping and administrative obligation specifically targeting visit sales and phone sales channels for all financial products.
law_fincpa_main_2026-01-02:제16조의2:②,제16조의2,②,방문판매 및 전화권유판매 임직원의 명부 작성 등,제1절,영업행위 일반원칙,7,금융상품판매업자등은 금융소비자가 요청하면 언제든지 금융소비자로 하여금 방문판매 및 전화권유판매를 하려는 임직원의 신원을 확인할 수 있도록 하여야 한다.,is_relevant_to_theme2|topic_family|channel_scope|obligation_mode|needs_decomposition,review,yes,internal_control,other,general,general,visit_sales|phone_sales|internal_control,visit_sales|phone_sales,workflow_control,required_action,yes,no,high,Auto-prefill: visit/phone sales operational controls; likely secondary to the first ad-review slice.,This clause mandates that financial sales business operators must allow financial consumers to verify the identity of employees conducting door-to-door (visit) sales or telemarketing (phone sales) at any time upon request.,The clause establishes a mandatory action for financial sales operators to provide identity verification mechanisms for visit and phone sales channels upon consumer request.
law_fincpa_main_2026-01-02:제16조의2:③,제16조의2,③,방문판매 및 전화권유판매 임직원의 명부 작성 등,제1절,영업행위 일반원칙,7,"방문판매 및 전화권유판매로 금융상품을 판매하려는 경우에는 금융소비자에게 미리 해당 방문 또는 전화가 판매를 권유하기 위한 것이라는 점과 방문판매 및 전화권유판매를 하려는 임직원의 성명 또는 명칭, 판매하는 금융상품의 종류 및 내용을 밝혀야 한다. [본조신설 2023. 7. 11.]",is_relevant_to_theme2|topic_family|channel_scope|obligation_mode|needs_decomposition,review,yes,internal_control,improper_solicitation,general,general,visit_sales|phone_sales|internal_control,visit_sales|phone_sales|solicitation,workflow_control,required_action,yes,no,high,Auto-prefill: visit/phone sales operational controls; likely secondary to the first ad-review slice.,"This clause mandates pre-disclosure of identity, purpose, and product type before engaging in visit sales or phone sales.","The clause explicitly regulates the mandatory disclosure of sales intent and identity during visit and phone sales, which falls under improper solicitation prevention and required actions for specific channels."
law_fincpa_main_2026-01-02:제17조:①,제17조,①,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,8,금융상품판매업자등은 금융상품계약체결등을 하거나 자문업무를 하는 경우에는 상대방인 금융소비자가 일반금융소비자인지 전문금융소비자인지를 확인하여야 한 다.,product_scope|channel_scope|obligation_mode|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,general,solicitation|advisory|contracting,contracting|advisory,required_action,workflow_control,yes,no,high,Auto-prefill: suitability principle with product-specific consumer-information requirements.,This clause establishes the foundational obligation to verify whether a financial consumer is a general or professional consumer prior to entering into a contract or providing advisory services under the Suitability Principle.,"The clause explicitly mandates the verification of consumer status (general vs. professional) during contracting or advisory activities, which is a key workflow control step under the suitability principle."
law_fincpa_main_2026-01-02:제17조:②,제17조,②,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,8,"금융상품판매업자등은 일반금융소비자에게 다음 각 호의 금융상품 계약 체결을 권유(금 융상품자문업자가 자문에 응하는 경우를 포함한다. 이하 이 조에서 같다)하는 경우에는 면담 ㆍ질문 등을 통하여 다음 각 호의 구분에 따른 정보를 파악하고, 일반금융소비자로부터 서명 (「전자서명법」 제2조제2호에 따른 전자서명을 포함한다. 이하 같다), 기명날인, 녹취 또는 그 밖에 대통령령으로 정하는 방법으로 확인을 받아 이를 유지ㆍ관리하여야 하며, 확인받은 내 용을 일반금융소비자에게 지체 없이 제공하여야 한다. 1. 「보험업법」 제108조제1항제3호에 따른 변액보험 등 대통령령으로 정하는 보장성 상품 가. 일반금융소비자의 연령 나. 재산상황(부채를 포함한 자산 및 소득에 관한 사항을 말한다. 이하 같다) 다. 보장성 상품 계약 체결의 목적 2. 투자성 상품(「자본시장과 금융투자업에 관한 법률」 제9조제27항에 따른 온라인소액투자 중개의 대상이 되는 증권 등 대통령령으로 정하는 투자성 상품은 제외한다. 이하 이 조에 서 같다) 및 운용 실적에 따라 수익률 등의 변동 가능성이 있는 금융상품으로서 대통령령 으로 정하는 예금성 상품 가. 일반금융소비자의 해당 금융상품 취득 또는 처분 목적 나. 재산상황 다. 취득 또는 처분 경험 3. 대출성 상품 가. 일반금융소비자의 재산상황 나. 신용 및 변제계획 4. 그 밖에 일반금융소비자에게 적합한 금융상품 계약의 체결을 권유하기 위하여 필요한 정 보로서 대통령령으로 정하는 사항",channel_scope|obligation_mode,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,multiple,solicitation|advisory|contracting,solicitation|contracting,required_action,workflow_control,yes,yes,high,Auto-prefill: suitability principle with product-specific consumer-information requirements.,"This clause outlines the core suitability assessment (적합성원칙) requirements for different product types (insurance, investment, deposit, loan) including information gathering, customer confirmation, recordkeeping, and immediate provision of the confirmed details.","The clause explicitly governs the suitability assessment process (적합성원칙) during solicitation and contracting across multiple financial product categories, establishing a structured workflow and recordkeeping obligation."
law_fincpa_main_2026-01-02:제17조:③,제17조,③,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,8,금융상품판매업자등은 제2항 각 호의 구분에 따른 정보를 고려하여 그 일반금융소비자에 게 적합하지 아니하다고 인정되는 계약 체결을 권유해서는 아니 된다. 이 경우 적합성 판단 기준은 제2항 각 호의 구분에 따라 대통령령으로 정한다.,product_scope|channel_scope|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,general,solicitation|advisory|contracting,solicitation,prohibited_action,prohibited_action,yes,no,high,Auto-prefill: prohibits recommending unsuitable products after suitability assessment.,This clause prohibits recommending contracts that are deemed unsuitable for general financial consumers based on their assessed profile (suitability principle).,"The clause explicitly prohibits recommending unsuitable financial products to general consumers, which directly falls under the suitability principle (consumer_fit_assessment) and constitutes a prohibited action during solicitation."
law_fincpa_main_2026-01-02:제17조:④,제17조,④,적합성원칙,제2절,금융상품 유형별 영업행위 준수사항,8,제2항에 따라 금융상품판매업자등이 금융상품의 유형별로 파악하여야 하는 정보의 세부 적인 내용은 대통령령으로 정한다.,product_scope|channel_scope|obligation_mode|needs_decomposition,yes,yes,consumer_fit_assessment,consumer_fit_assessment,multiple,general,solicitation|advisory|contracting,solicitation|contracting,required_action,required_content,yes,no,high,Auto-prefill: suitability principle with product-specific consumer-information requirements.,This paragraph delegates the detailed content of consumer information to be collected under the suitability principle (적합성원칙) to the Presidential Decree.,"The clause specifies that the detailed information to be gathered for suitability assessment is determined by presidential decree, which is a core component of the consumer fit assessment workflow."
