review_priority,priority_reason,parent_record_id,obligation_id,article_id,paragraph_id,article_title,parent_topic_family,parent_decomposition_strategy,obligation_label,obligation_summary,source_span_text,product_scope,channel_scope,obligation_mode,trigger_type,operationality,consumer_visibility,gemini_confidence,reviewer_note
high,split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제14조:②,law_fincpa_main_2026-01-02:제14조:②:ob02,제14조,②,신의성실의무 등,general_principle,split_unit,law_fincpa_main_2026-01-02:제14조:②:02,Do not harm financial consumers' interests to benefit oneself or a third party without justifiable reasons.,정당한 사유 없이 금융소비자의 이익을 해치면서 자기가 이익을 얻거나 제3자가 이 익을 얻도록 해서는 아니 된다.,general,all_customer_facing,prohibited_action,must_not_do,needs_subrule_design,both,high,This is a prohibition of conflict of interest and unfair self-dealing at the expense of the consumer.
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제17조:②,law_fincpa_main_2026-01-02:제17조:②:ob01,제17조,②,적합성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제17조:②:1,"일반금융소비자에게 권유 시 면담·질문 등을 통해 금융상품 유형별(보장성, 투자성, 대출성 등) 소비자 정보를 파악해야 한다.",면담ㆍ질문 등을 통하여 다음 각 호의 구분에 따른 정보를 파악하고,multiple,solicitation|advisory,workflow_control,must_do,needs_subrule_design,consumer_facing,high,This covers the information gathering duty for suitability assessment across different product types.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제17조:③,law_fincpa_main_2026-01-02:제17조:③:ob01,제17조,③,적합성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제17조:③:01,Prohibit recommending contracts deemed unsuitable for general financial consumers based on their assessed profile.,금융상품판매업자등은 제2항 각 호의 구분에 따른 정보를 고려하여 그 일반금융소비자에 게 적합하지 아니하다고 인정되는 계약 체결을 권유해서는 아니 된다.,general,solicitation,prohibited_action,must_not_do,direct_checkable,consumer_facing,high,"This is the core prohibition of the suitability principle, banning the solicitation of unsuitable financial products to general consumers."
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제17조:③,law_fincpa_main_2026-01-02:제17조:③:ob02,제17조,③,적합성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제17조:③:02,Apply suitability assessment criteria as prescribed by Presidential Decree.,이 경우 적합성 판단 기준은 제2항 각 호의 구분에 따라 대통령령으로 정한다.,general,solicitation,workflow_control,delegated_detail,delegated_to_decree,internal_only,high,"The specific criteria for determining suitability are delegated to the Presidential Decree, requiring internal system alignment with the decree's standards."
high,high_priority_article|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제17조:④,law_fincpa_main_2026-01-02:제17조:④:ob01,제17조,④,적합성원칙,consumer_fit_assessment,single_unit,law_fincpa_main_2026-01-02:제17조:④:01,금융상품판매업자등이 파악해야 하는 금융상품 유형별 정보의 세부 내용은 대통령령이 정하는 바에 따른다.,금융상품판매업자등이 금융상품의 유형별로 파악하여야 하는 정보의 세부 적인 내용은 대통령령으로 정한다.,general,solicitation|contracting,required_content,delegated_detail,delegated_to_decree,internal_only,high,This is a delegation clause pointing to the Presidential Decree for the specific details of consumer information to be collected.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제17조:⑤,law_fincpa_main_2026-01-02:제17조:⑤:ob01,제17조,⑤,적합성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제17조:⑤:01,Exempt suitability principle requirements when selling private equity funds to professional-type private collective investment schemes.,금융상품판매업자등이 「자본시장과 금융투자업에 관한 법률」 제249조의2에 따른 전문투자형 사모집합투자기구의 집합투자증권을 판매하는 경우에는 제1항부터 제3항까지의 규정을 적용하지 아니한다.,investment,solicitation|contracting,workflow_control,must_have_control,direct_checkable,internal_only,high,This establishes the baseline exemption for private equity fund sales from suitability assessments.
high,high_priority_article|split_parent|not_direct_checkable|core_obligation_mode,law_fincpa_main_2026-01-02:제17조:⑤,law_fincpa_main_2026-01-02:제17조:⑤:ob02,제17조,⑤,적합성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제17조:⑤:02,Apply suitability principle requirements if a general financial consumer among qualified investors requests it under Presidential Decree.,"다만, 같은 법 제249조의2에 따른 적격투자자 중 일반금융소비자등 대통령령으로 정하는 자가 대통령령으로 정하는 바에 따라 요청하는 경우에는 그러하지 아니하다.",investment,solicitation|contracting,workflow_control,must_do,needs_subrule_design,consumer_facing,high,"This is a critical exception where the suitability principle must be reapplied upon consumer request, requiring system support to process such requests."
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제18조:①,law_fincpa_main_2026-01-02:제18조:①:ob01,제18조,①,적정성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제18조:①:1,Gather consumer profile information for insurance (보장성) products through interviews or questionnaires before contracting without solicitation.,보장성 상품: 제17조제2항제1호 각 목의 정보,insurance,contracting,workflow_control,must_do,direct_checkable,consumer_facing,high,Applies when a general consumer attempts to sign an insurance contract without prior solicitation.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제18조:①,law_fincpa_main_2026-01-02:제18조:①:ob02,제18조,①,적정성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제18조:①:2,Gather consumer profile information for investment (투자성) products through interviews or questionnaires before contracting without solicitation.,투자성 상품: 제17조제2항제2호 각 목의 정보,investment,contracting,workflow_control,must_do,direct_checkable,consumer_facing,high,Applies when a general consumer attempts to sign an investment contract without prior solicitation.
high,high_priority_article|split_parent|core_obligation_mode,law_fincpa_main_2026-01-02:제18조:①,law_fincpa_main_2026-01-02:제18조:①:ob03,제18조,①,적정성원칙,consumer_fit_assessment,split_unit,law_fincpa_main_2026-01-02:제18조:①:3,Gather consumer profile information for loan (대출성) products through interviews or questionnaires before contracting without solicitation.,대출성 상품: 제17조제2항제3호 각 목의 정보,loan,contracting,workflow_control,must_do,direct_checkable,consumer_facing,high,Applies when a general consumer attempts to sign a loan contract without prior solicitation.
