review_priority,priority_reason,source_obligation_id,parent_record_id,article_id,paragraph_id,article_title,rule_candidate_id,rule_candidate_summary,rule_family,logic_type,detection_target,sir_link_type,sir_candidate_fields,evidence_source,ready_for_v1,gemini_confidence,reviewer_note
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제13조:ob01,law_fincpa_main_2026-01-02:제13조,제13조,,영업행위 준수사항 해석의 기준,law_fincpa_main_2026-01-02:제13조:ob01:rule01,Ensure that internal compliance policies and legal interpretations of sales conduct rules prioritize financial consumer rights.,general_principle,principle_guardrail,record_system,principle_only,internal_control_standard|fairness_guardrail,record_archive,review,medium,This is a high-level interpretive principle. Compliance can be verified by reviewing internal control standards and legal interpretation guidelines to ensure they explicitly prioritize consumer rights.
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제13조:ob02,law_fincpa_main_2026-01-02:제13조,제13조,,영업행위 준수사항 해석의 기준,law_fincpa_main_2026-01-02:제13조:ob02:rule01,Establish and apply internal guidelines to ensure sales conduct rules are interpreted and applied equitably based on specific financial product types and business sectors.,general_principle,principle_guardrail,record_system,principle_only,internal_control_standard|no_current_field,decree_reference,review,medium,This is a high-level interpretive principle. Direct system-level validation is difficult without concrete sub-rules or delegated enforcement decrees. It is best mapped to internal control standards and general compliance frameworks.
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제14조:①:ob01,law_fincpa_main_2026-01-02:제14조:①,제14조,①,신의성실의무 등,law_fincpa_main_2026-01-02:제14조:①:ob01:rule01,"Ensure that internal conduct guidelines and customer-facing interactions incorporate and adhere to the principle of good faith during contract execution, exercise of rights, and performance of obligations.",general_principle,principle_guardrail,workflow_metadata,principle_only,fairness_guardrail,decree_reference,review,medium,"As a foundational principle of good faith (신의성실의 원칙), this is highly abstract and serves as an overarching guardrail. It is best mapped to a general fairness guardrail rather than a specific transactional field, requiring sub-rule design or internal policy alignment."
high,not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제14조:②:ob01,law_fincpa_main_2026-01-02:제14조:②,제14조,②,신의성실의무 등,law_fincpa_main_2026-01-02:제14조:②:ob01:rule01,Establish and maintain internal control standards and operational procedures to ensure fairness in financial product sales and business operations.,general_principle,principle_guardrail,workflow_metadata,principle_only,fairness_guardrail|internal_control_standard,decree_reference,review,medium,This is a high-level principle of fairness in business operations. It requires connection to internal control standards and procedural guidelines rather than a single transactional field.
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제17조:③:ob02,law_fincpa_main_2026-01-02:제17조:③,제17조,③,적합성원칙,law_fincpa_main_2026-01-02:제17조:③:ob02:rule01,Ensure suitability assessment criteria are configured and applied in accordance with the standards prescribed by the Presidential Decree.,suitability,delegated_detail,workflow_metadata,delegated_external_detail,suitability_check|internal_control_standard,decree_reference,review,high,"Since the specific suitability criteria are delegated to the Presidential Decree, the system must verify that the active evaluation logic aligns with the decree's detailed rules."
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제17조:④:ob01,law_fincpa_main_2026-01-02:제17조:④,제17조,④,적합성원칙,law_fincpa_main_2026-01-02:제17조:④:ob01:rule01,금융상품 유형별로 파악해야 하는 금융소비자 정보의 세부 항목은 대통령령(시행령)이 정하는 기준을 준수하여 구성되어야 한다.,suitability,delegated_detail,consumer_profile,delegated_external_detail,consumer_profile|suitability_check,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual rule must be verified against the Enforcement Decree of the Financial Consumer Protection Act for specific consumer profile fields.
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제18조:①:ob04,law_fincpa_main_2026-01-02:제18조:①,제18조,①,적정성원칙,law_fincpa_main_2026-01-02:제18조:①:ob04:rule01,Verify that the system collects all additional consumer information prescribed by the Enforcement Decree before conducting an adequacy assessment for unsolicited contracts.,adequacy,delegated_detail,consumer_profile,delegated_external_detail,consumer_profile|adequacy_check,consumer_profile_form,review,high,The specific data points to be gathered are delegated to the Enforcement Decree. The rule logic must be updated once those specific decree-level fields are finalized.
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link,law_fincpa_main_2026-01-02:제18조:③:ob01,law_fincpa_main_2026-01-02:제18조:③,제18조,③,적정성원칙,law_fincpa_main_2026-01-02:제18조:③:ob01:rule01,Identify and collect the detailed consumer information required for the adequacy principle assessment as specified by the Presidential Decree.,adequacy,delegated_detail,consumer_profile,delegated_external_detail,consumer_profile|adequacy_check,decree_reference,review,high,This rule candidate represents a delegation clause pointing to the Presidential Decree. The specific fields to be collected must be updated and verified against the Enforcement Decree of the Financial Consumer Protection Act.
high,high_priority_article|not_ready_for_v1|weak_sir_link,law_fincpa_main_2026-01-02:제19조:③:ob02,law_fincpa_main_2026-01-02:제19조:③,제19조,③,설명의무,law_fincpa_main_2026-01-02:제19조:③:ob02:rule01,Ensure that all important matters prescribed by the Enforcement Decree are not omitted during product explanations to financial consumers.,explanation,prohibited_presence,content_text,delegated_external_detail,explanation_material|product_core_terms,explanation_form,review,high,This rule requires cross-referencing with the Enforcement Decree to compile the exact list of mandatory explanation items for each product type before V1 deployment.
high,high_priority_article|not_ready_for_v1|abstract_logic|weak_sir_link|mixed_detection,law_fincpa_main_2026-01-02:제19조:④:ob01,law_fincpa_main_2026-01-02:제19조:④,제19조,④,설명의무,law_fincpa_main_2026-01-02:제19조:④:ob01:rule01,"Ensure that the content, delivery methods, and procedures of explanatory statements comply with the detailed requirements prescribed by the Presidential Decree.",explanation,delegated_detail,mixed,delegated_external_detail,explanation_material|explanation_confirmation,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual operational rules must be derived from the corresponding Enforcement Decree provisions.
