source_obligation_id,parent_record_id,article_id,paragraph_id,rule_candidate_id,rule_candidate_summary,rule_family,logic_type,detection_target,sir_link_type,sir_candidate_fields,evidence_source,ready_for_v1,gemini_confidence,reviewer_note
law_fincpa_main_2026-01-02:제13조:ob01,law_fincpa_main_2026-01-02:제13조,제13조,,law_fincpa_main_2026-01-02:제13조:ob01:rule01,Ensure that internal compliance policies and legal interpretations of sales conduct rules prioritize financial consumer rights.,general_principle,principle_guardrail,record_system,principle_only,internal_control_standard|fairness_guardrail,record_archive,review,medium,This is a high-level interpretive principle. Compliance can be verified by reviewing internal control standards and legal interpretation guidelines to ensure they explicitly prioritize consumer rights.
law_fincpa_main_2026-01-02:제13조:ob02,law_fincpa_main_2026-01-02:제13조,제13조,,law_fincpa_main_2026-01-02:제13조:ob02:rule01,Establish and apply internal guidelines to ensure sales conduct rules are interpreted and applied equitably based on specific financial product types and business sectors.,general_principle,principle_guardrail,record_system,principle_only,internal_control_standard|no_current_field,decree_reference,review,medium,This is a high-level interpretive principle. Direct system-level validation is difficult without concrete sub-rules or delegated enforcement decrees. It is best mapped to internal control standards and general compliance frameworks.
law_fincpa_main_2026-01-02:제14조:①:ob01,law_fincpa_main_2026-01-02:제14조:①,제14조,①,law_fincpa_main_2026-01-02:제14조:①:ob01:rule01,"Ensure that internal conduct guidelines and customer-facing interactions incorporate and adhere to the principle of good faith during contract execution, exercise of rights, and performance of obligations.",general_principle,principle_guardrail,workflow_metadata,principle_only,fairness_guardrail,decree_reference,review,medium,"As a foundational principle of good faith (신의성실의 원칙), this is highly abstract and serves as an overarching guardrail. It is best mapped to a general fairness guardrail rather than a specific transactional field, requiring sub-rule design or internal policy alignment."
law_fincpa_main_2026-01-02:제14조:②:ob01,law_fincpa_main_2026-01-02:제14조:②,제14조,②,law_fincpa_main_2026-01-02:제14조:②:ob01:rule01,Establish and maintain internal control standards and operational procedures to ensure fairness in financial product sales and business operations.,general_principle,principle_guardrail,workflow_metadata,principle_only,fairness_guardrail|internal_control_standard,decree_reference,review,medium,This is a high-level principle of fairness in business operations. It requires connection to internal control standards and procedural guidelines rather than a single transactional field.
law_fincpa_main_2026-01-02:제14조:②:ob02,law_fincpa_main_2026-01-02:제14조:②,제14조,②,law_fincpa_main_2026-01-02:제14조:②:ob02:rule01,Prohibit transactions or sales practices that unjustifiably harm financial consumers' interests to generate benefits for the financial sales agent or a third party.,general_principle,prohibited_presence,workflow_metadata,derived_decision_field,fairness_guardrail|prohibited_claim_signal,workflow_log,review,medium,"This is a broad anti-conflict of interest principle. While highly abstract, it can be operationalized by monitoring transaction routing, fee structures, or third-party referral flows that lack justifiable commercial reasons."
law_fincpa_main_2026-01-02:제15조:ob01,law_fincpa_main_2026-01-02:제15조,제15조,,law_fincpa_main_2026-01-02:제15조:ob01:rule01,"금융상품 또는 금융상품자문 계약 체결 시 정당한 사유 없이 성별, 학력, 장애, 사회적 신분 등을 이유로 계약조건을 부당하게 차별하여 적용하는 행위를 금지한다.",general_principle,prohibited_presence,workflow_metadata,derived_decision_field,fairness_guardrail|consumer_profile,workflow_log,review,high,"계약 조건 결정 로직 및 심사 기준 상에 성별, 학력, 장애, 사회적 신분 등 차별 유발 요소가 부당하게 반영되었는지 검증하는 룰 설계가 필요합니다."
law_fincpa_main_2026-01-02:제16조:①:ob01,law_fincpa_main_2026-01-02:제16조:①,제16조,①,law_fincpa_main_2026-01-02:제16조:①:ob01:rule01,"Establish and execute internal control standards to supervise and manage employees and sales agents, ensuring compliance with financial laws and preventing market disruption.",internal_control,required_process,record_system,direct_record_field,internal_control_standard|staff_registry|activity_record,record_archive,review,high,"This rule requires verifying that internal control standards specifically govern employee and sales agent activities, excluding insurance brokers under Article 2, Paragraph 11 of the Insurance Business Act."
law_fincpa_main_2026-01-02:제17조:③:ob02,law_fincpa_main_2026-01-02:제17조:③,제17조,③,law_fincpa_main_2026-01-02:제17조:③:ob02:rule01,Ensure suitability assessment criteria are configured and applied in accordance with the standards prescribed by the Presidential Decree.,suitability,delegated_detail,workflow_metadata,delegated_external_detail,suitability_check|internal_control_standard,decree_reference,review,high,"Since the specific suitability criteria are delegated to the Presidential Decree, the system must verify that the active evaluation logic aligns with the decree's detailed rules."
law_fincpa_main_2026-01-02:제17조:④:ob01,law_fincpa_main_2026-01-02:제17조:④,제17조,④,law_fincpa_main_2026-01-02:제17조:④:ob01:rule01,금융상품 유형별로 파악해야 하는 금융소비자 정보의 세부 항목은 대통령령(시행령)이 정하는 기준을 준수하여 구성되어야 한다.,suitability,delegated_detail,consumer_profile,delegated_external_detail,consumer_profile|suitability_check,decree_reference,review,high,This is a delegation clause pointing to the Presidential Decree. The actual rule must be verified against the Enforcement Decree of the Financial Consumer Protection Act for specific consumer profile fields.
law_fincpa_main_2026-01-02:제17조:⑥:ob01,law_fincpa_main_2026-01-02:제17조:⑥,제17조,⑥,law_fincpa_main_2026-01-02:제17조:⑥:ob01:rule01,금융상품판매업자등은 대통령령으로 정하는 자에게 적합성원칙 적용을 별도로 요청할 수 있음을 사전에 고지하여야 한다.,suitability,required_process,workflow_metadata,direct_workflow_field,consumer_type|suitability_check,workflow_log,review,high,대통령령으로 정하는 구체적인 대상자(예: 전문금융소비자 중 일부) 및 사전 고지 방식에 대한 시행령 상세 요건의 추가 연계가 필요합니다.
